Id,Extraversion,Neuroticism,Conscientiousness,Agreeableness,Openness
cpa8NaV6,2,0,2,0,1
BT4tWhnF,2,1,2,1,0
W4iG35hs,1,2,1,2,0
NbQp2i6N,2,1,2,1,0
D7oTD3b2,3,1,2,3,0
m5ZyomMj,0,2,1,0,1
nqf4rTQN,0,2,1,3,0
F9Y74eXP,2,1,2,1,0
TiDmtK45,2,1,2,2,0
Sprgtd4D,1,1,0,0,2
QcW6VQRb,1,0,2,1,0
JryvsTXV,3,2,2,2,0
8NErPUAn,2,1,1,3,0
EGx5hTs8,2,1,2,1,0
2ixXhApe,2,0,2,0,1
E67e8xNn,2,2,1,0,2
5955ygvR,1,2,2,3,2
2WJD9UaG,2,1,2,2,0
HHTvVpnk,1,0,2,1,0
Ea9PAZah,1,1,2,3,2
gRcUdebx,2,1,2,2,0
KZP3Rowb,0,0,3,2,0
J5ozhqVt,2,1,2,2,0
SCVhmycx,2,1,2,1,0
9dhSnPLp,1,1,2,3,2
d6ZJG4hn,2,1,1,0,0
BsfFoZiS,0,2,1,3,0
bAHBQ9Kf,2,1,2,2,0
2aBSSMAj,3,1,1,1,0
33En67gb,0,0,2,2,0
asGu6FNd,2,0,1,1,0
Cc6anXfM,2,0,1,1,0
2QcnHVsi,2,1,2,1,0
U8b3AF38,2,1,2,1,0
UJ9sbBV4,2,1,1,0,0
9htTcd6R,0,0,2,2,0
gerVDyrR,2,0,2,2,0
6k725AzD,2,1,1,0,0
EYtnQSuQ,0,0,3,2,0
SD5TgiGm,2,1,2,2,0
4BqTyQNQ,0,2,1,0,1
k5muvL2E,1,1,2,3,2
U7Y2xQWt,2,0,2,0,1
F52c8riD,3,2,2,2,0
i3zdLVgH,2,0,2,2,0
QYFyum8v,2,1,2,2,0
Pc8tYHDQ,2,0,1,1,0
LbCP9sVn,2,1,2,2,0
9A6GvhyM,1,1,2,3,2
V9TjRiMW,1,2,1,2,0
Wx6gjB9S,1,1,3,0,3
AKx8sg9q,3,2,1,2,2
GmxsjmYc,2,0,2,1,0
6cjjj2yC,2,1,2,1,0
HaL3gzQM,1,1,2,3,2
CMrj5qct,2,0,2,2,0
ZxhbZSM8,1,2,2,3,2
gDmxt8mt,2,0,2,1,0
Er29Kekm,2,1,2,2,0
HycNQXoC,1,2,2,3,2
oFBnBMsE,2,1,2,2,0
DVE8ugNT,2,1,2,1,0
Ps3vgzWd,0,2,1,0,1
Z23362Yb,3,2,2,2,0
mdeCyxkM,2,1,2,2,0
C6mYEvhW,1,2,1,2,0
6npSoYGn,1,1,2,3,2
Mmy43jFx,2,0,2,2,0
aSvnFzVi,2,0,2,1,0
5iKdUmJH,3,2,1,2,2
XSRmeGJK,1,0,2,1,0
d235PWAJ,3,2,1,2,2
7LEaesoa,1,1,1,0,1
DtdTFTYe,2,1,2,1,0
jD7icoLx,1,1,0,0,2
d9HgUjKS,2,1,2,2,0
PEPi3ydA,1,1,0,0,2
AnxVaZKV,2,1,1,0,0
7VBH6wkX,2,2,1,0,2
e3Qk98gf,1,1,1,0,1
Wx5aQDX3,0,0,2,2,0
YLptpPXZ,3,1,1,1,0
jiwRqkER,0,0,2,2,0
N2uEC9Se,2,0,2,2,0
VNpQueKh,2,0,2,0,1
PCBs99ox,3,1,1,1,0
aM26RiP5,2,0,2,1,0
DXVf46CE,1,2,1,2,0
TSuuXsbX,2,2,1,0,2
iPYbfcpa,2,0,2,1,0
QExh73VM,0,0,2,2,0
GernZvc6,3,1,1,1,0
CJU6TmoF,2,0,1,1,0
muEaRy7A,1,2,2,3,2
Fu28E5w6,2,1,1,3,0
dmSkaMf4,2,1,1,0,0
BduFfcc8,2,0,1,1,0
KP45TEvF,2,1,1,3,0
Vc3gJa7r,3,1,2,3,0
LNfb4mkp,2,1,2,2,0
WUYcUaDY,0,0,3,2,0
erYtgudK,3,2,2,2,0
A7UR98EE,0,0,3,1,2
B2J5eht5,1,2,1,2,0
62c33Eze,2,1,2,2,0
RPE8DFzE,3,2,2,2,0
NRCLfZeD,0,0,2,2,0
Dc7PbLD8,2,2,1,0,2
3hehRbXR,3,1,2,1,1
2TPa7BBT,3,1,1,1,0
HCdXofqC,2,1,2,2,0
Tbt5Cj3X,2,1,2,2,0
MwrV9QwK,2,0,2,2,0
cKnmLhj6,2,0,2,1,0
Htx3CJAC,0,0,3,1,2
7s9PsgGa,3,2,2,2,0
Uc4cAvjp,2,0,1,1,0
akFbnj4w,1,1,2,3,2
KJjG7bds,0,0,3,1,2
9TNKmRWC,3,1,2,1,1
Wr8Wx5x6,3,2,2,2,0
4BQJKkJW,0,2,1,3,0
GULeHekP,2,0,2,0,1
WdYkterw,2,0,2,1,0
HVCf3Qef,1,1,3,0,3
hCw5gMqR,1,2,2,3,2
9zPGyQYs,2,1,1,0,0
dCRcs24o,0,0,3,1,2
YscNzWt7,0,0,3,2,0
HMVo2QMy,3,1,2,3,0
hhrtbBen,2,1,2,2,0
G2BkDdNy,3,1,2,1,1
QfK63k6h,2,1,1,0,0
5ft7SHYi,1,1,2,3,2
PZKTRfeN,0,2,1,0,1
fcvUXMSa,1,1,1,0,1
bGJkvzu6,0,0,3,2,0
c9ZUPzo7,0,2,1,3,0
YVxkSuWZ,1,0,2,1,0
U8KUMRWc,3,2,2,2,0
XVGK9bi4,2,0,2,1,0
g5uPECKn,2,0,1,1,0
XLDSXsrn,2,1,1,0,0
VT3qLkfQ,3,1,2,3,0
kDSH5vdJ,0,0,3,2,0
eP5ym7jH,2,1,1,0,0
Eu3AuNvc,2,0,2,2,0
BLFs3ScT,1,2,2,3,2
ixJsaiTz,1,0,2,1,0
AzsdySLY,3,2,2,2,0
msbd2pjf,2,0,2,0,1
WoYLbmBA,2,1,2,2,0
cVr4rEQK,0,2,1,3,0
evUG4ZJ7,2,0,1,1,0
WWD2pKpH,3,1,2,1,1
jYHYqmLS,1,2,1,2,0
g3wydHF2,2,0,2,0,1
PM8U6v4N,1,1,1,0,1
XbMExt5v,2,1,2,2,0
g3Y4UDtX,3,2,1,2,2
9N4rifv2,2,1,2,1,0
BJr4YenY,3,1,1,1,0
nW2YtJDF,2,0,2,1,0
T69ZHTzu,2,1,2,1,0
BdtP9vV4,2,0,1,1,0
AswWcUEJ,0,0,2,2,0
PcfCy2oP,2,1,1,3,0
kgeGLQvJ,3,2,1,2,2
hSreKJQb,2,0,2,2,0
8JXyBWfq,0,0,2,2,0
UsNiT2CF,1,2,1,2,0
R66rpwUr,0,0,3,1,2
DgEX42EX,3,2,2,2,0
hfByJBd5,2,0,2,2,0
QSWAD3ro,2,1,1,0,0
LEwCHMUB,2,1,2,2,0
avKVSte7,2,1,2,2,0
Tvs6EAuC,1,1,3,0,3
ZTsG66ek,1,1,0,0,2
54XSWMxp,2,1,2,2,0
gYeAjkKw,3,1,2,3,0
AuxUvAej,1,1,3,0,3
4bBc33vH,2,0,1,1,0
42zmx6ke,0,2,1,0,1
YCiJtvfS,3,1,2,3,0
ghSF7ktN,0,0,3,1,2
KNkRZw3C,2,2,1,0,2
EjwdHJZn,2,1,2,2,0
MieoLJsM,2,0,2,1,0
CAhNHoUs,1,1,3,0,3
KawaUXmp,2,0,1,1,0
NbXDxVxn,1,0,2,1,0
GJD9xbVx,3,2,2,2,0
ExiNY8xa,2,1,2,1,0
JorH4DJs,2,1,2,1,0
cMMNiNMF,3,1,1,1,0
NdJGadnt,0,0,2,2,0
Qnto3R7K,0,0,3,1,2
FaTaLobD,3,2,1,2,2
ddzkQPSd,2,0,2,1,0
7eumyvcV,2,0,1,1,0
FsWXPqfB,1,1,2,3,2
WAQEJjBD,0,2,1,0,1
MMqw8R33,2,0,2,1,0
ATcqbMhu,3,2,2,2,0
i6up7DJq,3,1,2,1,1
B3f2xzy8,0,2,1,0,1
k4Rr6vND,2,1,2,2,0
CfLVNfvb,1,2,1,2,0
8FAM8eGY,2,1,2,2,0
S9Azt8Tp,3,1,1,1,0
YtZAL74B,3,2,2,2,0
GFwUdy7h,0,0,3,2,0
SWHa6Ghh,1,0,2,1,0
LJer8Y5R,2,0,1,1,0
6jmSwiwt,0,0,3,2,0
MAKkLsKh,1,2,2,3,2
GpDr9h2a,0,2,1,3,0
CehfPjLj,1,2,1,2,0
2ouGtQMP,2,1,1,0,0
XRyiwrYx,3,1,2,1,1
7Gmj88DZ,2,1,2,2,0
fmUMTLwK,0,0,3,1,2
96vA5TWb,3,2,2,2,0
CSJrrhei,3,2,2,2,0
ijpihvKu,0,2,1,3,0
diNUn5gN,1,2,1,2,0
4KGE4qUA,3,1,1,1,0
2Eevdpj2,2,0,2,1,0
hxf8LNUA,2,0,1,1,0
Z6wNrneK,2,1,1,0,0
nJ7GHM3z,1,1,1,0,1
3VvCZKkf,1,1,1,0,1
2Ydeerkh,0,0,3,1,2
J5e9AWD3,0,0,3,2,0
QrRfJDoq,3,1,2,3,0
b7oqn8fg,1,1,3,0,3
27CrURiq,2,1,2,1,0
9xnfYEeP,3,1,2,1,1
fairWHGY,2,0,1,1,0
Kj72pmeZ,3,1,2,3,0
TQrrYCef,2,1,2,2,0
fqByHpje,1,1,1,0,1
g3SQR6PW,3,2,1,2,2
ADAN5NP9,1,1,2,3,2
jAxf8dyq,3,2,2,2,0
L76fHqBT,3,2,1,2,2
2Eqd5j4z,3,2,2,2,0
XYEdkbDx,0,0,2,2,0
kCGhsLqB,1,0,2,1,0
LNbTbnkv,1,0,2,1,0
YRcRvjcF,1,1,3,0,3
eDDHtX4w,1,1,1,0,1
exXWKJZK,1,2,1,2,0
WzUgvhkM,2,1,1,3,0
9q3f629Q,2,0,2,0,1
VdAmcijB,0,0,3,2,0
hBbXmfDf,2,0,2,0,1
NjKwjqrf,2,1,1,3,0
cAZxY5K4,1,1,0,0,2
5RfB5cqR,2,0,1,1,0
PhRuXjCF,1,1,3,0,3
bMgGcte9,3,2,2,2,0
VBALScow,2,0,1,1,0
HfgigaM2,0,0,3,2,0
5UwqjJwx,2,2,1,0,2
VS9iHxnF,3,1,1,1,0
SsNzUzSz,2,1,2,1,0
dmZjUWcz,2,1,2,1,0
24uLzPEy,0,0,3,1,2
ZRX2AcQY,0,2,1,0,1
BRoSHmHL,2,0,1,1,0
9QZ9m27o,3,2,1,2,2
F7A4fd7B,3,1,2,3,0
Qf6xVv7H,1,1,2,3,2
fa26bFcp,2,0,1,1,0
TKQZesiQ,3,2,1,2,2
cVJu4Pws,1,0,2,1,0
MZp4wYn3,1,0,2,1,0
WydaoSxB,1,1,2,3,2
hzcZVrm4,0,2,1,3,0
8hKt6och,2,1,1,0,0
DjB9uMtv,2,1,2,2,0
6nGR8EzD,2,1,2,2,0
nvq3Wvj3,2,1,2,1,0
bHpFsVav,2,0,2,0,1
M65skH7C,0,0,3,1,2
7eHfWGDi,1,1,2,3,2
GTtzGnw3,2,1,2,2,0
cCf9XbLS,1,0,2,1,0
ipq9quGe,2,1,1,0,0
Vej7GPX3,2,1,2,1,0
j7392taK,2,1,2,2,0
LcBshzfh,2,0,2,0,1
UpXTLDvu,2,1,2,2,0
JWzcpQP8,1,1,2,3,2
N7PnGm49,3,1,1,1,0
aJ8Snh3L,1,1,0,0,2
QLTiUYU2,2,0,1,1,0
eJLdzS5X,2,1,1,3,0
FsESFrTk,3,1,2,3,0
nigyeveV,2,0,2,1,0
49zgN5XP,1,0,2,1,0
jZq2M2vm,1,2,2,3,2
mkWqse7V,1,0,2,1,0
R678HJmV,3,1,2,3,0
NYsAN7v4,2,1,2,2,0
AAY6zMED,0,0,3,1,2
ByNdPPjy,3,1,1,1,0
Q2ax5y2R,2,1,2,2,0
kUeHMt9k,1,1,0,0,2
eQPnRBdF,2,0,2,2,0
Nxnwz93p,2,2,1,0,2
Vs3LQ8uW,2,0,1,1,0
fuDywfZN,2,1,2,2,0
oXEbErBP,1,2,2,3,2
nZUUWVDY,2,1,1,3,0
Wb8dxdtc,2,1,2,2,0
Zuej7xKw,2,1,1,0,0
Taian5ca,1,1,0,0,2
AcJ8VwKB,3,2,1,2,2
QhiNFk3E,0,0,3,1,2
N9Dub6S7,2,0,2,2,0
aT5JwPb6,1,0,2,1,0
7CJXdVhn,3,1,2,3,0
eCiUu7ih,2,0,2,0,1
JVubiGGj,1,1,1,0,1
Hy84FaDc,0,2,1,0,1
jRrYXNhf,2,0,2,1,0
DXtuHmnM,1,1,2,3,2
CVMLuKv9,0,0,3,1,2
bPNeGYvH,2,0,1,1,0
XzGeefZi,2,1,2,2,0
LmpqRExe,2,0,2,0,1
8qZwJsUM,0,2,1,0,1
czww7p7L,1,1,2,3,2
W2q78aAw,2,0,2,0,1
7iuBH3Zk,2,0,2,2,0
AStCtLLS,0,2,1,3,0
7KoZ2Uwd,2,1,1,0,0
MNjazGT8,1,1,2,3,2
QRBSRkum,2,0,2,0,1
X8j9J8U5,3,2,1,2,2
C5NfUuii,0,0,2,2,0
MCt49gvu,1,2,2,3,2
npYCi58k,2,1,2,2,0
kAyXMQVD,2,0,1,1,0
VSEhnM4u,3,1,1,1,0
KhKNk5ku,3,2,1,2,2
XAEs9A5Q,0,2,1,3,0
bs4cPVFg,1,2,2,3,2
CV58WPHW,2,0,2,2,0
fArvZLtP,0,0,3,2,0
fzjztR8F,2,0,1,1,0
TZDCqJw8,1,0,2,1,0
T9iWHwTG,2,0,2,0,1
UgPXTWoY,3,1,2,1,1
6vbK4j4d,1,2,1,2,0
V4drHUZ8,2,1,1,0,0
aDpFL77B,2,0,1,1,0
FPUHmLmV,3,1,2,3,0
YjRVSfxu,3,1,1,1,0
AJWkVF7o,3,1,2,3,0
L4kzWgpR,2,0,2,2,0
8xnXhhu7,2,1,2,1,0
YW8TkBwS,0,0,2,2,0
d56RVUwr,2,0,2,2,0
AY944Zuu,1,1,2,3,2
Zddygavi,3,1,2,1,1
DQ8nwXQ2,2,0,1,1,0
ALYhcx79,0,2,1,0,1
PmXQcx97,2,1,2,2,0
hrbFPQSM,2,1,2,1,0
NuXKsw9r,1,2,2,3,2
VHk3BEkp,1,1,1,0,1
CPRfoNbu,3,1,1,1,0
A2jeCMi4,3,1,2,3,0
iBy6BUdX,2,1,2,2,0
V9ZfXSpo,2,0,2,0,1
dwsJNW2d,2,1,2,2,0
E2yXw5g4,2,1,1,3,0
cLhvWEVB,2,0,2,1,0
ARcZMzFM,1,1,3,0,3
cJanoa6m,0,0,3,2,0
JT6jjhnw,1,2,2,3,2
SUERPjnb,2,0,2,2,0
7Ynf4yYk,0,2,1,3,0
Wze4LDsT,0,0,2,2,0
N7SXZ6w6,2,0,1,1,0
bbGrMEYW,2,1,1,3,0
ekJebfqB,2,1,2,2,0
TG5vN8qq,2,1,1,3,0
9Waed5ef,2,2,1,0,2
bbS2mRLu,2,1,2,1,0
cjS7mMUK,2,0,1,1,0
i9ajq4wn,1,1,3,0,3
QsruTJgp,3,1,2,1,1
Ko8BvssR,2,0,1,1,0
TdFNsWRN,1,0,2,1,0
gQTtrG5E,2,2,1,0,2
iXJ6S7rU,2,1,2,2,0
nD2n2KUg,0,0,2,2,0
EUhg33Em,0,0,3,2,0
63AYkHjC,0,0,3,1,2
dJeEtqgj,0,2,1,3,0
gnS8XZ7F,2,0,2,1,0
cScBxMNU,3,1,2,3,0
kHd6VZfS,1,1,1,0,1
P5fgqty9,2,1,2,1,0
T9GafeCB,2,0,2,2,0
LzpSAPDS,3,1,2,3,0
oY95xLNW,2,1,2,1,0
aXTW3Dr9,3,1,1,1,0
7q9XnRWd,1,0,2,1,0
hNfiNejU,1,2,2,3,2
BXP6Hore,1,1,3,0,3
6brigEr5,3,1,2,3,0
ZCPjf7GN,2,1,2,2,0
QTvRKsWp,2,0,1,1,0
WimFyJki,2,0,1,1,0
ixVz7FSq,2,1,1,0,0
j69jB7md,1,1,2,3,2
G5jCpBEQ,3,1,2,3,0
Zsggw5yA,2,1,2,2,0
boG7QuHD,3,1,2,1,1
U4ohYFWu,2,0,2,2,0
eWzam9rT,3,1,2,3,0
N6QU78xJ,2,1,2,2,0
YrzzjcWT,2,0,1,1,0
TSUVoabD,2,1,2,2,0
4rv6d3uK,0,0,3,2,0
GwXguhLx,1,1,3,0,3
JbEAxJic,3,1,2,3,0
TBBvHfGF,3,1,2,3,0
FpbdNQsE,1,2,2,3,2
R8mabU9E,2,2,1,0,2
K65RmWKV,2,1,2,2,0
bqfvFVD3,1,2,2,3,2
UjCN94Es,3,1,2,3,0
JeRKWEBd,0,0,3,2,0
NWsWnHEA,1,2,1,2,0
E4aMQGAz,1,0,2,1,0
3FXH4njn,2,0,2,0,1
C6GwJcdi,2,0,1,1,0
HpB5R3Mx,0,2,1,3,0
nrYHfHL9,1,2,2,3,2
6UBHwN5M,1,1,1,0,1
YGYWKcEr,1,2,1,2,0
LxAwsuX4,0,2,1,0,1
62UZehUZ,3,1,2,3,0
6cJSYksp,2,1,2,2,0
ZRxqesAe,0,0,3,1,2
i8ACprrf,0,0,3,1,2
N7BT74rY,0,2,1,3,0
cVBcq8RD,0,2,1,0,1
Yte7AuT8,1,2,2,3,2
4oW8i4V8,0,2,1,3,0
9Vm49UH8,0,2,1,0,1
QP3xtfc3,2,1,1,3,0
U9RAJLJy,1,1,3,0,3
Xjy66sg4,0,0,2,2,0
Atk4EQUJ,1,2,1,2,0
PaoQHhsF,2,0,1,1,0
39CLGxFF,2,1,2,2,0
4P8S66Vc,2,0,1,1,0
kBkut5fj,1,2,2,3,2
bLARmBZk,2,0,1,1,0
6BEfQGzp,3,1,1,1,0
5q8MUDTF,0,0,3,2,0
96SoGmPz,1,2,1,2,0
FjuLRMv7,2,1,2,2,0
grzNV2UE,1,1,0,0,2
5gHoEkTT,1,1,0,0,2
fwovxznB,2,1,1,0,0
Ja3rUjnV,1,1,0,0,2
FdPdRUK5,0,0,2,2,0
5tgP3Zoz,2,0,2,0,1
64kmCeoJ,0,0,3,2,0
KpqRNEXD,3,1,1,1,0
8bR5B4nd,0,2,1,3,0
nMgvJzXX,2,0,2,1,0
Jyiz4qTo,3,1,1,1,0
baf44M56,3,1,1,1,0
Tjx6DNJ7,2,0,2,1,0
JYggH9wg,3,2,2,2,0
GnscCbH8,1,1,0,0,2
DouzxmSk,2,0,1,1,0
dazbSdhA,2,1,1,0,0
KqsAmTpA,1,1,2,3,2
FXiBbnbR,2,1,2,1,0
f3QoY4cd,0,0,3,1,2
3W5hvAAG,1,1,1,0,1
axKr69eB,1,2,2,3,2
gVFrNQxb,2,0,2,0,1
UwrKz3Up,1,1,1,0,1
emTgMmrE,0,2,1,3,0
HH4gyQii,2,1,2,1,0
G22TDTvV,1,1,0,0,2
cP9TRHC2,1,0,2,1,0
72SszLHg,2,1,1,3,0
giotn5Vx,0,0,2,2,0
WG2ZU5SD,2,1,2,2,0
DygqHBEh,3,1,2,1,1
9fxfaUzU,1,1,1,0,1
KpPBZQFb,2,0,2,0,1
UcXroBHM,3,1,2,3,0
PoKFsT5c,0,0,2,2,0
ZjFLDTZr,2,0,2,1,0
DUoX62PD,3,2,1,2,2
JLjWgZxt,3,1,1,1,0
R9crUZG7,0,2,1,3,0
hDwqMRnb,1,1,3,0,3
MnbCTxZr,1,0,2,1,0
26HayWQB,2,0,2,2,0
LCZNWQpj,2,1,2,1,0
V44ZcFSq,2,1,2,2,0
PEhZZbrL,2,1,1,0,0
Nm46giAH,1,1,3,0,3
bn5NkhSX,3,1,1,1,0
kpbdfFdL,1,1,3,0,3
BRbjmR5T,2,0,2,2,0
BRepX2dD,3,1,2,3,0
YBZyTxv8,2,1,2,2,0
KXAMqJgX,1,2,1,2,0
5usccTtt,2,1,2,2,0
R7zNJ5Px,2,0,1,1,0
AfX2jqCA,2,1,2,1,0
48WjhSEa,2,2,1,0,2
NBSD9KWR,2,1,2,2,0
mEFQ4bsS,3,2,2,2,0
P3MJSn4w,3,2,1,2,2
R87JoXBN,0,2,1,0,1
WPiynZYP,0,0,2,2,0
Yr9qi8HP,1,0,2,1,0
Whbkwm2L,2,1,2,2,0
GKfjYeBm,3,2,2,2,0
j8HL8mPw,2,0,2,1,0
XMdDRjNL,1,1,3,0,3
BkXNQJf9,2,0,1,1,0
FnJVUFP6,3,1,2,1,1
XHNLyWnZ,2,1,2,2,0
iKJ5Qt2E,2,1,2,1,0
X4zZd3pA,2,2,1,0,2
GqhtewpD,0,2,1,0,1
EzcnS5KF,0,0,3,2,0
LjAbEg3m,2,0,1,1,0
5434Lv8b,2,1,2,1,0
Myy2ignn,2,0,2,0,1
DHkJtMJ7,1,2,2,3,2
AdYbnVB6,2,2,1,0,2
SdRnhaZr,2,1,2,2,0
YyiujEQm,3,1,2,3,0
VKcSEUJX,0,0,3,2,0
BMEDjJbd,1,1,2,3,2
4n6Jiy7B,1,1,3,0,3
RmpsM4nf,3,1,2,3,0
Fnh7Jane,2,0,2,0,1
kQ9Dqcui,0,2,1,0,1
BGCNWvM8,2,0,1,1,0
dMX54kxo,2,1,1,0,0
XAm8jvqy,0,0,2,2,0
2LAU3x7U,2,1,2,2,0
4ioMZQAi,1,1,2,3,2
KJ3ezgQW,1,2,2,3,2
YYRWP78o,2,1,1,0,0
EWM2MrHh,1,1,0,0,2
jHiFbzqY,1,2,2,3,2
2UWtQvzJ,1,0,2,1,0
NNLe5Sqn,0,0,3,1,2
BnE5f6wL,1,1,2,3,2
Tsv22PKD,1,2,1,2,0
TaB4XByd,0,0,2,2,0
XFAQgeZx,2,1,1,3,0
o9ZuzLph,2,1,2,2,0
mwTmhxby,2,0,2,2,0
hrWmYFXW,1,2,1,2,0
iDLmUXue,2,1,1,0,0
NFTGh8WD,1,1,2,3,2
KT3RppBr,1,2,2,3,2
fS8hJRSs,0,2,1,3,0
TjHmZ6h7,1,1,3,0,3
4AHwG3su,3,1,2,1,1
SgrJyJSn,0,0,2,2,0
JfSujYbM,1,1,2,3,2
ezQcLMiy,3,1,1,1,0
iETf4oth,2,0,1,1,0
VfZp8S9q,3,2,1,2,2
m4StYjd5,2,0,2,0,1
MVf6s9KF,2,0,2,0,1
6LMHyXfC,0,0,3,2,0
Y6A7sq2j,1,2,2,3,2
PwUFFkAv,1,1,2,3,2
L7qLME9u,2,1,2,2,0
KganLmub,2,0,1,1,0
hXUQwPLk,2,1,2,1,0
J8oerkqz,2,1,2,1,0
4L5HvXrd,3,1,2,1,1
fq9YvgQ5,2,1,2,1,0
9kEvzxPg,2,2,1,0,2
bvUBDZvM,2,2,1,0,2
f3UikyfG,2,1,2,2,0
hPXobNGp,2,0,1,1,0
6wtwdvGE,2,0,1,1,0
kS2BNtN3,1,0,2,1,0
5yUCwvfa,0,2,1,3,0
8kFwmFpf,2,1,2,1,0
GJhs5pBk,0,2,1,0,1
PidtG9mu,1,0,2,1,0
hutt8kFo,0,2,1,0,1
cQVumSpa,0,2,1,3,0
P6K9jFAW,2,0,2,0,1
KiQkovdi,2,1,2,2,0
frsxpsWm,1,1,3,0,3
UYdbXn4q,1,2,1,2,0
bn29qkii,1,1,3,0,3
3vhfyQgq,2,1,2,2,0
dETWZJL8,0,0,3,2,0
Qweb8AAG,1,2,1,2,0
8HuCqCKU,1,1,1,0,1
emuCerxb,2,1,2,2,0
Bm7t8ssq,2,2,1,0,2
6MMeNzTY,0,0,2,2,0
Udq4YvWy,1,1,0,0,2
nrMGKZgS,1,2,1,2,0
3ppggnhL,1,0,2,1,0
KHvinyyU,2,1,2,1,0
XuF7RAZ2,2,0,1,1,0
VfTNkpF2,1,1,1,0,1
fvnzH2ip,0,0,3,1,2
hZjYMpF4,2,0,1,1,0
YhkHdG26,1,0,2,1,0
VdVWBYxb,0,0,2,2,0
nqu8JupZ,2,1,2,2,0
LgfnmWB4,1,2,2,3,2
JyP7aWg4,0,2,1,3,0
5gieWVY4,0,0,2,2,0
TbwTBFro,1,0,2,1,0
HdPrTtxd,2,1,2,2,0
3R3U34mn,2,1,2,2,0
BBvBLAzY,2,0,1,1,0
4NAiArih,3,1,2,3,0
i62oVkzQ,1,1,3,0,3
ejwGL4Q5,2,1,2,2,0
AhbZu5p3,2,1,1,0,0
CouQJ2qe,1,1,2,3,2
L6omX6Bd,2,1,1,0,0
CCbqKskn,1,1,1,0,1
GUwDjcga,0,2,1,0,1
SgucaVTr,2,1,2,1,0
RukjbkuV,2,0,2,1,0
5bFghBjS,2,1,2,1,0
3SKc9hVc,2,1,2,2,0
gUseppxx,2,1,2,2,0
6Njxxdps,3,2,2,2,0
ehD4fRgn,0,2,1,3,0
gtgmGwjn,0,0,3,1,2
3eqAqL49,2,2,1,0,2
RNactn5b,1,2,2,3,2
NHSc3DFY,2,1,2,2,0
np8zd8y5,0,0,3,2,0
59TUwupP,2,0,1,1,0
X5TsPRrh,0,2,1,3,0
ApxqEc6N,3,2,2,2,0
nqWkdJBV,3,1,2,1,1
Jzz5uT69,1,2,2,3,2
6q4SCYoj,0,2,1,0,1
i4ivTZFw,1,2,1,2,0
StaHpPF4,2,0,2,2,0
3qwxNJ8s,2,0,1,1,0
CVSYupxZ,1,1,3,0,3
a8ZzVgAx,1,1,3,0,3
BLbWcvpq,1,2,2,3,2
ab95ApZY,2,1,2,1,0
HkHhJgNo,2,0,2,2,0
hiF5je9Y,2,1,2,2,0
GpMRu3Hq,1,1,2,3,2
Jja9UuQF,2,1,1,3,0
Y372yEs9,3,2,1,2,2
MyUEmj5o,3,2,2,2,0
nnacnwfp,3,2,1,2,2
YcMcsce5,3,1,2,3,0
V3u73gbf,2,1,2,1,0
ddHg96JD,2,1,2,1,0
g2AwWpfB,2,0,1,1,0
Qe53Xr9h,2,1,2,2,0
EKzKV73X,2,1,2,1,0
4FSXusMU,0,0,3,2,0
ERLxCGmz,2,1,2,1,0
h4XDGi4i,0,0,3,1,2
b7BAW8wT,2,1,2,1,0
